Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	S-Substitutions	N-Substitutions	Fold-S-Substitutions(0:2:4)	Fold-N-Substitutions(0:2:4)	Divergence-Time	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model
Cd36_09460,orf19.4873	NG	0.0607681	0.5005	0.121415	1.02572e-13	507	95.8396	411.16	NA	59	35	24	NA	NA	0.143892	1:1:1:1:1:1	0.285985(0.363636:0.272727:0.221591)	NA	NA	NA	NA
Cd36_09470,orf19.4874	NG	0.0554394	0.456838	0.121355	6.21484e-45	1815	374.13	1440.87	NA	205	128	77	NA	NA	0.138181	1:1:1:1:1:1	0.302981(0.423577:0.29187:0.193496)	NA	NA	NA	NA
Cd36_09480,orf19.4875	NG	0.121063	0.416302	0.290805	2.27516e-06	465	91.5562	373.444	NA	71	29.25	41.75	NA	NA	0.179194	1:1:1:1:1:1	0.309816(0.420245:0.276074:0.233129)	NA	NA	NA	NA
Cd36_09490,orf19.4878	NG	0.128045	0.478647	0.267515	8.80278e-35	2514	567.855	1946.14	NA	430	200.917	229.083	NA	NA	0.207238	1:1:1:1:1:1	0.391482(0.526838:0.406068:0.24154)	NA	NA	NA	NA
Cd36_09510,orf19.4880	NG	0.0576601	0.615358	0.0937018	1.42292e-76	2166	463.279	1702.72	NA	289	194.5	94.5	NA	NA	0.176944	1:1:1:1:1:1	0.332436(0.40175:0.374159:0.2214)	NA	NA	NA	NA
Cd36_09520,orf19.4882	NG	0.0190177	0.582736	0.0326351	1.16281e-43	852	186.348	665.652	NA	88	75.5	12.5	NA	NA	0.142313	1:1:1:1:1:1	0.329296(0.403114:0.351211:0.233564)	NA	NA	NA	NA
Cd36_09530,orf19.4883	NG	0.0342884	0.531472	0.064516	6.05479e-83	2187	471.424	1715.58	NA	237	179.5	57.5	NA	NA	0.14146	1:1:1:1:1:1	0.317521(0.355128:0.334615:0.262821)	NA	NA	NA	NA
Cd36_09540,orf19.4884	NG	0.16987	0.638786	0.265926	2.24019e-38	2328	529.279	1798.72	NA	501	227.583	273.417	NA	NA	0.276479	1:1:1:1:1:1	0.31623(0.37801:0.415183:0.155497)	NA	NA	NA	NA
Cd36_09550,orf19.4885	NG	0.0130253	0.290796	0.0447918	1.10122e-26	921	224.018	696.982	NA	63	54	9	NA	NA	0.0805883	1:1:1:1:1:1	0.387622(0.444625:0.441368:0.276873)	NA	NA	NA	NA
Cd36_09560,orf19.4886	NG	0.155187	0.422265	0.36751	6.24814e-07	711	160.532	550.468	NA	129	51.8333	77.1667	NA	NA	0.215488	1:1:1:1:1:1	0.26834(0.281853:0.393822:0.129344)	NA	NA	NA	NA
Cd36_09570,orf19.4887	NG	0.0499267	0.502898	0.099278	2.53227e-66	2178	480.32	1697.68	NA	258	176	82	NA	NA	0.149822	1:1:1:1:1:1	0.319802(0.391753:0.354381:0.213273)	NA	NA	NA	NA
Cd36_09580,orf19.4888	NG	0.0932206	0.328157	0.284073	3.40712e-09	765	173.7	591.3	NA	98	46.1667	51.8333	NA	NA	0.146565	1:1:1:1:1:1	0.316785(0.406028:0.423759:0.120567)	NA	NA	NA	NA
Cd36_09590,orf19.4889	NG	0.0327241	0.345737	0.0946502	2.38546e-42	1740	397.108	1342.89	NA	153	110	43	NA	NA	0.104161	1:1:1:1:1:1	0.324561(0.388795:0.41511:0.169779)	NA	NA	NA	NA
Cd36_09600,orf19.4890	NG	0.0318544	0.352193	0.0904458	2.94685e-71	2898	642.813	2255.19	NA	251	180.667	70.3333	NA	NA	0.102909	1:1:1:1:1:1	0.335181(0.434476:0.386593:0.184476)	NA	NA	NA	NA
Cd36_09610,orf19.4892	NG	0.00314767	0.292769	0.0107514	2.36952e-41	1215	259.912	955.088	NA	66	63	3	NA	NA	0.0651033	1:1:1:1:1:1	0.307661(0.41198:0.342298:0.168704)	NA	NA	NA	NA
Cd36_09630,orf19.4893	NG	0.0659833	0.59438	0.111012	2.85412e-131	4275	889.633	3385.37	NA	579	365.167	213.833	NA	NA	0.175943	1:1:1:1:1:1	0.326556(0.385941:0.311509:0.282219)	NA	NA	NA	NA
Cd36_09640,orf19.4894	NG	0.00896227	0.54321	0.0164987	1.02985e-40	732	170.766	561.234	NA	71	66	5	NA	NA	0.133595	1:1:1:1:1:1	0.391393(0.473361:0.375:0.32582)	NA	NA	NA	NA
Cd36_09650,orf19.4895	NG	0.039075	0.612887	0.0637556	1.68937e-35	819	175.525	643.475	NA	98	73.5	24.5	NA	NA	0.162052	1:1:1:1:1:1	0.371103(0.498201:0.307554:0.307554)	NA	NA	NA	NA
Cd36_09660,orf19.4896	NG	0.039171	0.470352	0.0832802	1.01837e-22	705	141.667	563.333	NA	71	49.5	21.5	NA	NA	0.125815	1:1:1:1:1:1	0.347222(0.445833:0.272917:0.322917)	NA	NA	NA	NA
Cd36_09670,orf19.4897	NG	0.0240899	0.537247	0.0448395	3.64824e-41	960	200.734	759.266	NA	95	77	18	NA	NA	0.13139	1:1:1:1:1:1	0.334896(0.398438:0.278125:0.328125)	NA	NA	NA	NA
Cd36_09680,orf19.4898	NG	0.0271003	0.411569	0.0658463	2.9228e-23	687	161.01	525.99	NA	65	51	14	NA	NA	0.117207	1:1:1:1:1:1	0.385735(0.436681:0.425764:0.29476)	NA	NA	NA	NA
Cd36_09690,orf19.4899	NG	0.0335955	0.461285	0.0728303	5.68559e-94	2838	631.28	2206.72	NA	290	217.5	72.5	NA	NA	0.12873	1:1:1:1:1:1	0.372093(0.473573:0.378964:0.263742)	NA	NA	NA	NA
Cd36_09700,orf19.4900	NG	0.0647646	0.43227	0.149824	6.27395e-51	2475	500.692	1974.31	NA	287	164.5	122.5	NA	NA	0.139111	1:1:1:1:1:1	0.279221(0.391972:0.286305:0.159386)	NA	NA	NA	NA
Cd36_09720,orf19.4903	NG	0.0379302	0.409543	0.092616	8.60747e-28	1029	204.387	824.613	NA	95	64.5	30.5	NA	NA	0.111742	1:1:1:1:1:1	0.24221(0.284703:0.269122:0.172805)	NA	NA	NA	NA
Cd36_09730,orf19.4904	NG	0.0430721	0.34465	0.124974	3.85226e-27	1311	277.762	1033.24	NA	120	76.75	43.25	NA	NA	0.106967	1:1:1:1:1:1	0.296338(0.402466:0.316143:0.170404)	NA	NA	NA	NA
Cd36_09740,orf19.4905	NG	0.0631742	0.576468	0.109588	1.19252e-48	1512	331.873	1180.13	NA	205	133.5	71.5	NA	NA	0.175839	1:1:1:1:1:1	0.330508(0.359699:0.368173:0.263653)	NA	NA	NA	NA
Cd36_09750,orf19.4906	NG	0.250753	0.840535	0.298325	2.47512e-34	2070	502.178	1567.82	NA	588	253.833	334.167	NA	NA	0.393833	1:1:1:1:1:1	0.374478(0.318296:0.558897:0.246241)	NA	NA	NA	NA
Cd36_09760,orf19.4907	NG	0.0410636	0.428495	0.0958321	9.89315e-48	1791	364.563	1426.44	NA	176	119	57	NA	NA	0.119926	1:1:1:1:1:1	0.333882(0.35773:0.334704:0.309211)	NA	NA	NA	NA
Cd36_09770,orf19.4909	NG	0.0161743	0.471113	0.0343322	6.3376e-89	2166	447.377	1718.62	NA	184	156.5	27.5	NA	NA	0.11014	1:1:1:1:1:1	0.368149(0.485849:0.342318:0.27628)	NA	NA	NA	NA
Cd36_09790,orf19.4910	NG	0.0388822	0.393959	0.0986959	6.31763e-22	750	195.786	554.214	NA	81	60	21	NA	NA	0.131574	1:1:1:1:1:1	0.393281(0.389328:0.545455:0.245059)	NA	NA	NA	NA
Cd36_09800,orf19.4911	NG	0.208704	0.529782	0.393943	6.53358e-09	948	208.811	739.189	NA	214	79.3333	134.667	NA	NA	0.279426	1:1:1:1:1:1	0.361776(0.434132:0.366766:0.284431)	NA	NA	NA	NA
Cd36_09810,orf19.4912	NG	0.0389056	0.566983	0.0686186	6.87848e-78	1932	454.961	1477.04	NA	237	181	56	NA	NA	0.163261	1:1:1:1:1:1	0.405685(0.441085:0.446512:0.329457)	NA	NA	NA	NA
Cd36_09820,orf19.984	NG	0.00996009	0.315412	0.031578	6.63181e-49	1506	343.709	1162.29	NA	100	88.5	11.5	NA	NA	0.0796722	1:1:1:1:1:1	0.383466(0.488048:0.368526:0.293825)	NA	NA	NA	NA
Cd36_09830,orf19.985	NG	0.0513621	0.467783	0.109799	1.56901e-65	2451	517.188	1933.81	NA	276	180	96	NA	NA	0.139231	1:1:1:1:1:1	0.339897(0.408115:0.326969:0.284606)	NA	NA	NA	NA
Cd36_09840,orf19.986	NG	0.0113884	0.44796	0.0254229	1.24342e-47	1119	234.233	884.767	NA	89	79	10	NA	NA	0.102773	1:1:1:1:1:1	0.365058(0.457105:0.363271:0.274799)	NA	NA	NA	NA
Cd36_09850,orf19.988	NG	0.0114366	0.476587	0.0239969	1.31686e-55	1230	260.825	969.175	NA	103	92	11	NA	NA	0.110073	1:1:1:1:1:1	0.359756(0.37439:0.309756:0.395122)	NA	NA	NA	NA
Cd36_09860,orf19.989	NG	0.0221044	0.395972	0.0558233	9.88962e-34	1008	227.534	780.466	NA	87	70	17	NA	NA	0.106497	1:1:1:1:1:1	0.35905(0.421365:0.406528:0.249258)	NA	NA	NA	NA
Cd36_09870,orf19.991	NG	0.0393359	0.483888	0.0812913	2.01934e-48	1500	312.697	1187.3	NA	157	111.5	45.5	NA	NA	0.132009	1:1:1:1:1:1	0.371391(0.492126:0.337598:0.284449)	NA	NA	NA	NA
Cd36_09880,orf19.992	NG	0.0178588	0.45968	0.0388504	1.28144e-73	1869	395.729	1473.27	NA	162	136	26	NA	NA	0.111407	1:1:1:1:1:1	0.363831(0.423756:0.361958:0.305778)	NA	NA	NA	NA
Cd36_09890,orf19.993	NG	0.0274565	0.324142	0.0847051	2.24379e-13	522	113.988	408.012	NA	41	30	11	NA	NA	0.0922432	1:1:1:1:1:1	0.382184(0.477011:0.341954:0.327586)	NA	NA	NA	NA
Cd36_09900,orf19.997	NG	0.00630508	0.257768	0.0244603	1.28059e-16	597	119.19	477.81	NA	29	26	3	NA	NA	0.0565093	1:1:1:1:1:1	0.308208(0.396985:0.228643:0.298995)	NA	NA	NA	NA
Cd36_09910,orf19.998	NG	0.0568835	0.428813	0.132653	2.62915e-37	1560	355.177	1204.82	NA	182	116	66	NA	NA	0.141563	1:1:1:1:1:1	0.369413(0.431992:0.409962:0.266284)	NA	NA	NA	NA
Cd36_09920,orf19.999	NG	0.0874726	0.575895	0.15189	1.58621e-72	2811	625.835	2185.17	NA	432	251.583	180.417	NA	NA	0.196214	1:1:1:1:1:1	0.368687(0.46395:0.372518:0.269592)	NA	NA	NA	NA
Cd36_09940,orf19.1832	NG	0.0284389	0.288252	0.09866	1.14251e-36	1767	405.31	1361.69	NA	135	97	38	NA	NA	0.0880342	1:1:1:1:1:1	0.330551(0.388147:0.42571:0.177796)	NA	NA	NA	NA
Cd36_09950,orf19.1833	NG	0.00808083	0.265864	0.0303946	5.18339e-39	1428	308.243	1119.76	NA	78	69	9	NA	NA	0.0637251	1:1:1:1:1:1	0.303758(0.444676:0.344468:0.122129)	NA	NA	NA	NA
Cd36_09960,orf19.1834	NG	0.149093	0.452208	0.329701	5.90951e-25	2622	525.862	2096.14	NA	462	178.583	283.417	NA	NA	0.209885	1:1:1:1:1:1	0.267558(0.380214:0.260963:0.161497)	NA	NA	NA	NA
Cd36_09970,orf19.1835	NG	0.0528545	0.389753	0.13561	3.26245e-38	1800	376.143	1423.86	NA	187	114.333	72.6667	NA	NA	0.123256	1:1:1:1:1:1	0.290356(0.363208:0.340409:0.167453)	NA	NA	NA	NA
Cd36_09980,orf19.1836	NG	0.0630748	0.482064	0.130843	4.03492e-32	1263	262.923	1000.08	NA	154	93.5	60.5	NA	NA	0.150297	1:1:1:1:1:1	0.28208(0.382743:0.300885:0.162611)	NA	NA	NA	NA
Cd36_10000,orf19.1839	NG	0.00987852	0.348582	0.0283391	6.38873e-168	4962	1064.41	3897.59	NA	335	296.75	38.25	NA	NA	0.0825346	1:1:1:1:1:1	0.339632(0.444511:0.35093:0.223455)	NA	NA	NA	NA
Cd36_10010,orf19.1840	NG	0.016807	0.456613	0.036808	1.19599e-149	3684	826.013	2857.99	NA	330	282.5	47.5	NA	NA	0.115419	1:1:1:1:1:1	0.380565(0.470277:0.384772:0.286645)	NA	NA	NA	NA
Cd36_10020,orf19.2352	NG	0.0230008	0.410305	0.056058	1.46146e-33	972	221.506	750.494	NA	87	70	17	NA	NA	0.111262	1:1:1:1:1:1	0.376147(0.444954:0.391437:0.292049)	NA	NA	NA	NA
Cd36_10030,orf19.2351	NG	0.00577182	0.414372	0.0139291	2.91678e-41	903	207.308	695.692	NA	70	66	4	NA	NA	0.0995772	1:1:1:1:1:1	0.390919(0.480066:0.393688:0.299003)	NA	NA	NA	NA
Cd36_10040,orf19.2350	NG	0.0308738	0.483213	0.0638926	2.79517e-57	1554	352.777	1201.22	NA	162	125.667	36.3333	NA	NA	0.13356	1:1:1:1:1:1	0.397115(0.419231:0.406731:0.365385)	NA	NA	NA	NA
Cd36_10050,orf19.2347	NG	0.0434251	0.628482	0.0690952	9.41823e-72	1791	368.925	1422.08	NA	217	157	60	NA	NA	0.16394	1:1:1:1:1:1	0.358738(0.421273:0.326633:0.328308)	NA	NA	NA	NA
Cd36_10060,orf19.2346	NG	0.0259463	0.649557	0.0399447	1.81954e-94	1872	401.564	1470.44	NA	212	174.5	37.5	NA	NA	0.159717	1:1:1:1:1:1	0.378205(0.448718:0.358974:0.326923)	NA	NA	NA	NA
Cd36_10070,orf19.2344	NG	0.0554185	0.493035	0.112403	1.27891e-36	1152	300.267	851.733	NA	154	108.5	45.5	NA	NA	0.169483	1:1:1:1:1:1	0.447409(0.519722:0.609049:0.213457)	NA	NA	NA	NA
Cd36_10090,orf19.2343	NG	0.0679084	0.415774	0.16333	2.95647e-29	1446	319.054	1126.95	NA	175	101.833	73.1667	NA	NA	0.144664	1:1:1:1:1:1	0.384855(0.460581:0.349585:0.344398)	NA	NA	NA	NA
Cd36_10100,orf19.2342	NG	0.0152706	0.41665	0.036651	4.25455e-27	651	154.845	496.155	NA	57	49.5	7.5	NA	NA	0.110741	1:1:1:1:1:1	0.374808(0.352535:0.430876:0.341014)	NA	NA	NA	NA
Cd36_10110,orf19.2341	NG	0.0140177	0.541289	0.0258968	5.31102e-23	456	95.9637	360.036	NA	42	37	5	NA	NA	0.12498	1:1:1:1:1:1	0.367325(0.473684:0.282895:0.345395)	NA	NA	NA	NA
Cd36_10120,orf19.2340	NG	0.0015624	0.269891	0.00578902	1.66595e-82	2478	555.882	1922.12	NA	129	126	3	NA	NA	0.0617558	1:1:1:1:1:1	0.396489(0.506053:0.375303:0.308111)	NA	NA	NA	NA
Cd36_10130,orf19.2337	NG	0.011129	0.390053	0.0285322	4.16619e-62	1629	361.675	1267.33	NA	124	110	14	NA	NA	0.0952586	1:1:1:1:1:1	0.361265(0.396869:0.370166:0.316759)	NA	NA	NA	NA
Cd36_10140,orf19.2336	NG	0.0585249	0.33851	0.17289	1.94397e-11	606	138.266	467.734	NA	64	37.6667	26.3333	NA	NA	0.122407	1:1:1:1:1:1	0.35396(0.425743:0.344059:0.292079)	NA	NA	NA	NA
Cd36_10150,orf19.2335	NG	0.0172788	0.312478	0.0552959	3.17808e-41	1482	325.762	1156.24	NA	103	83.25	19.75	NA	NA	0.0821671	1:1:1:1:1:1	0.325941(0.429435:0.347782:0.200605)	NA	NA	NA	NA
Cd36_10160,orf19.2334	NG	0.0293164	0.450452	0.0650821	1.84594e-32	966	200.804	765.196	NA	90	68	22	NA	NA	0.116858	1:1:1:1:1:1	0.30176(0.397516:0.279503:0.228261)	NA	NA	NA	NA
Cd36_10170,orf19.2333	NG	0.0266038	0.401717	0.0662252	5.87132e-47	1488	333.846	1154.15	NA	134	103.833	30.1667	NA	NA	0.110764	1:1:1:1:1:1	0.386106(0.493988:0.393788:0.270541)	NA	NA	NA	NA
Cd36_10180,orf19.2332	NG	0.112792	0.49734	0.226791	1.32074e-14	771	170.99	600.01	NA	125	62.1667	62.8333	NA	NA	0.198076	1:1:1:1:1:1	0.338994(0.398113:0.371698:0.24717)	NA	NA	NA	NA
Cd36_10190,orf19.2331	NG	0.0106678	0.380747	0.0280182	2.18267e-49	1335	280.779	1054.22	NA	95	83.8333	11.1667	NA	NA	0.0885033	1:1:1:1:1:1	0.336704(0.447191:0.370787:0.192135)	NA	NA	NA	NA
Cd36_10210,orf19.2330	NG	0.0243593	0.45583	0.0534394	3.91944e-47	1293	270.802	1022.2	NA	117	92.5	24.5	NA	NA	0.114725	1:1:1:1:1:1	0.348801(0.409513:0.320186:0.316705)	NA	NA	NA	NA
Cd36_10220,orf19.2328	NG	0.0218193	0.35719	0.0610861	5.57262e-25	834	182.989	651.011	NA	66	52	14	NA	NA	0.0954034	1:1:1:1:1:1	0.347722(0.406475:0.372302:0.264388)	NA	NA	NA	NA
Cd36_10230,orf19.2326	NG	0.0687067	0.392872	0.174883	2.09139e-26	1455	310.102	1144.9	NA	170	94.8333	75.1667	NA	NA	0.137795	1:1:1:1:1:1	0.365333(0.472:0.304:0.32)	NA	NA	NA	NA
Cd36_10240,orf19.2325	NG	0.0913196	0.502838	0.181608	1.60555e-32	1551	337.526	1213.47	NA	228	123.667	104.333	NA	NA	0.180874	1:1:1:1:1:1	0.378143(0.410058:0.369439:0.354932)	NA	NA	NA	NA
Cd36_10250,orf19.2324	NG	0.0440548	0.414332	0.106327	3.45622e-35	1314	289.52	1024.48	NA	136	92.1667	43.8333	NA	NA	0.12564	1:1:1:1:1:1	0.382688(0.477221:0.34738:0.323462)	NA	NA	NA	NA
Cd36_10270,orf19.2320	NG	0.0352432	0.598159	0.0589194	2.75425e-61	1476	299.63	1176.37	NA	164	123.5	40.5	NA	NA	0.149516	1:1:1:1:1:1	0.363759(0.462475:0.295132:0.333671)	NA	NA	NA	NA
Cd36_10290,orf19.2319	NG	0.0276902	0.515166	0.0537501	3.68901e-75	2013	394.477	1618.52	NA	191	147	44	NA	NA	0.123218	1:1:1:1:1:1	0.360664(0.449488:0.303075:0.329429)	NA	NA	NA	NA
Cd36_10300,orf19.2317	NG	0.00483735	0.54469	0.00888093	5.62269e-31	531	116.216	414.784	NA	47	45	2	NA	NA	0.12299	1:1:1:1:1:1	0.358757(0.333333:0.392655:0.350282)	NA	NA	NA	NA
Cd36_10310,orf19.2315	NG	0.0335718	0.389301	0.0862363	2.03316e-43	1554	343.274	1210.73	NA	144	104.25	39.75	NA	NA	0.112151	1:1:1:1:1:1	0.38327(0.432252:0.388359:0.329198)	NA	NA	NA	NA
Cd36_10320,orf19.2314	NG	0.00932099	0.396747	0.0234935	2.46098e-16	405	81.1417	323.858	NA	28	25	3	NA	NA	0.0869418	1:1:1:1:1:1	0.337037(0.418519:0.311111:0.281481)	NA	NA	NA	NA
Cd36_10330,orf19.2313	NG	0.015255	0.407328	0.0374514	2.27956e-44	1188	260.903	927.097	NA	96	82	14	NA	NA	0.10136	1:1:1:1:1:1	0.364899(0.381313:0.363636:0.349747)	NA	NA	NA	NA
Cd36_10340,orf19.2312	NG	0.0790665	0.477914	0.165441	3.57868e-44	2028	455.536	1572.46	NA	279	161	118	NA	NA	0.168657	1:1:1:1:1:1	0.378498(0.416789:0.379971:0.338733)	NA	NA	NA	NA
Cd36_10350,orf19.2311	NG	0.00504212	0.220773	0.0228384	2.72653e-20	780	183.01	596.99	NA	38	35	3	NA	NA	0.0556588	1:1:1:1:1:1	0.379135(0.427481:0.406489:0.303435)	NA	NA	NA	NA
Cd36_10370,orf19.2309	NG	1.06572	2.32114	0.459138	0.000458457	762	166.541	595.459	NA	458	119.25	338.75	NA	NA	1.3401	1:1:1:1:1:1	0.242661(0.278409:0.243608:0.205966)	NA	NA	NA	NA
Cd36_10380,orf19.2309	NG	0.126299	0.489797	0.25786	4.03606e-29	2103	425.398	1677.6	NA	348	153	195	NA	NA	0.199828	1:1:1:1:1:1	0.325532(0.374468:0.312057:0.290071)	NA	NA	NA	NA
Cd36_10390,orf19.2308	NG	0.0194042	0.413928	0.0468782	3.73762e-38	1083	221.621	861.379	NA	87	70.5	16.5	NA	NA	0.100138	1:1:1:1:1:1	0.325946(0.389197:0.33518:0.253463)	NA	NA	NA	NA
Cd36_10400,orf19.2307	NG	0.0246129	0.413599	0.0595089	3.22002e-54	1623	356.482	1266.52	NA	144	113.333	30.6667	NA	NA	0.110051	1:1:1:1:1:1	0.377839(0.426335:0.414365:0.292818)	NA	NA	NA	NA
Cd36_10410,orf19.2306	NG	0.0142808	0.534732	0.0267065	4.429e-26	534	109.843	424.157	NA	48	42	6	NA	NA	0.121337	1:1:1:1:1:1	0.336142(0.488764:0.297753:0.22191)	NA	NA	NA	NA
Cd36_10420,orf19.2305	NG	0.033029	0.32361	0.102064	1.60133e-09	372	77.9944	294.006	NA	30	20.5	9.5	NA	NA	0.0939528	1:1:1:1:1:1	0.321237(0.403226:0.298387:0.262097)	NA	NA	NA	NA
Cd36_10430,orf19.2304	NG	0.0199707	0.336103	0.0594183	1.44959e-28	1026	214.111	811.889	NA	74	58	16	NA	NA	0.0859429	1:1:1:1:1:1	0.341618(0.432749:0.290936:0.30117)	NA	NA	NA	NA
Cd36_10440,orf19.2303	NG	0.0406373	0.452983	0.0897104	9.55942e-21	675	144.107	530.893	NA	70	49	21	NA	NA	0.12867	1:1:1:1:1:1	0.344063(0.422747:0.287554:0.321888)	NA	NA	NA	NA
Cd36_10450,orf19.2302	NG	0.0173392	0.478518	0.0362352	2.41291e-63	1467	329.33	1137.67	NA	136	116.5	19.5	NA	NA	0.12087	1:1:1:1:1:1	0.358896(0.384458:0.351738:0.340491)	NA	NA	NA	NA
Cd36_10460,orf19.2301	NG	0.0515334	0.595493	0.086539	4.76589e-26	693	150.862	542.138	NA	89	62	27	NA	NA	0.16995	1:1:1:1:1:1	0.364943(0.482759:0.3125:0.299569)	NA	NA	NA	NA
Cd36_10470,orf19.2299	NG	0.0128109	0.548639	0.0233503	2.10697e-16	303	66.818	236.182	NA	29	26	3	NA	NA	0.130972	1:1:1:1:1:1	0.361386(0.460396:0.336634:0.287129)	NA	NA	NA	NA
Cd36_10480,orf19.2298	NG	0.0341493	0.41522	0.0822439	2.12829e-38	1311	277.556	1033.44	NA	123	88.5	34.5	NA	NA	0.114827	1:1:1:1:1:1	0.358886(0.419908:0.318078:0.338673)	NA	NA	NA	NA
Cd36_10490,orf19.2297	NG	0.0189342	0.72277	0.0261967	2.80824e-45	750	161.677	588.323	NA	86	75	11	NA	NA	0.170659	1:1:1:1:1:1	0.371745(0.392578:0.326172:0.396484)	NA	NA	NA	NA
Cd36_10510,orf19.2296	NG	0.0952102	0.50632	0.188043	1.56254e-147	7221	1698.05	5522.95	NA	1119	625.167	493.833	NA	NA	0.191884	1:1:1:1:1:1	0.409369(0.513487:0.469116:0.245504)	NA	NA	NA	NA
Cd36_10520,orf19.681	NG	0.0498771	0.432862	0.115226	9.7496e-50	1893	440.64	1452.36	NA	215	144.917	70.0833	NA	NA	0.139026	1:1:1:1:1:1	0.393176(0.440945:0.467717:0.270866)	NA	NA	NA	NA
Cd36_10530,orf19.680	NG	0.0209271	0.395971	0.0528502	2.03923e-45	1407	292.545	1114.46	NA	113	90	23	NA	NA	0.0989066	1:1:1:1:1:1	0.365603(0.458511:0.332979:0.305319)	NA	NA	NA	NA
Cd36_10540,orf19.679	NG	0.0529037	0.374091	0.141419	1.02489e-12	561	120.523	440.477	NA	58	35.5	22.5	NA	NA	0.121906	1:1:1:1:1:1	0.342246(0.419786:0.336898:0.270053)	NA	NA	NA	NA
Cd36_10550,orf19.677	NG	0.0133724	0.271718	0.0492143	1.131e-21	819	177.678	641.322	NA	49	40.5	8.5	NA	NA	0.0694193	1:1:1:1:1:1	0.339438(0.368132:0.371795:0.278388)	NA	NA	NA	NA
Cd36_10560,orf19.676	NG	0.0306306	0.216198	0.141679	2.80215e-13	888	204.976	683.024	NA	59	38.5	20.5	NA	NA	0.0734648	1:1:1:1:1:1	0.383669(0.471477:0.421141:0.258389)	NA	NA	NA	NA
Cd36_10570,orf19.675	NG	0.0437863	0.356143	0.122946	9.78398e-16	636	165.773	470.227	NA	67	47	20	NA	NA	0.125202	1:1:1:1:1:1	0.448062(0.444186:0.62093:0.27907)	NA	NA	NA	NA
Cd36_10580,orf19.674	NG	0.0674017	0.435438	0.15479	2.50317e-23	1071	225.538	845.462	NA	129	74.5	54.5	NA	NA	0.144905	1:1:1:1:1:1	0.353425(0.465753:0.321918:0.272603)	NA	NA	NA	NA
Cd36_10590,orf19.673	NG	0.03731	0.455769	0.0818617	1.42236e-35	1107	241.549	865.451	NA	114	82.5	31.5	NA	NA	0.128619	1:1:1:1:1:1	0.366577(0.463612:0.365229:0.270889)	NA	NA	NA	NA
Cd36_10600,orf19.672	NG	0.0313853	0.520941	0.0602475	1.88507e-65	1704	370.134	1333.87	NA	180	139	41	NA	NA	0.137724	1:1:1:1:1:1	0.348824(0.414802:0.345095:0.286575)	NA	NA	NA	NA
Cd36_10610,orf19.671	NG	0.0308041	0.413403	0.0745135	2.66636e-58	2007	408.265	1598.74	NA	178	129.75	48.25	NA	NA	0.108633	1:1:1:1:1:1	0.346954(0.40416:0.289747:0.346954)	NA	NA	NA	NA
Cd36_10630,orf19.670	NG	0.00426781	0.220603	0.0193461	1.60207e-08	303	68.0204	234.98	NA	14	13	1	NA	NA	0.0528328	1:1:1:1:1:1	0.398693(0.563725:0.436275:0.196078)	NA	NA	NA	NA
Cd36_10640,orf19.669	NG	0.0415446	0.562972	0.0737952	3.32395e-70	1869	409.145	1459.86	NA	221	162	59	NA	NA	0.155691	1:1:1:1:1:1	0.340812(0.375:0.31891:0.328526)	NA	NA	NA	NA
Cd36_10650,orf19.668	NG	0.0409286	0.409994	0.0998273	6.43546e-40	1470	327.698	1142.3	NA	149	103.5	45.5	NA	NA	0.123202	1:1:1:1:1:1	0.356275(0.406883:0.38664:0.275304)	NA	NA	NA	NA
Cd36_10670,orf19.665	NG	0.0196546	0.307351	0.0639484	1.75415e-21	801	182.421	618.579	NA	58	46	12	NA	NA	0.0851752	1:1:1:1:1:1	0.343284(0.438433:0.402985:0.188433)	NA	NA	NA	NA
Cd36_10680,orf19.664	NG	0.0399608	0.340777	0.117264	2.60542e-16	726	160.664	565.336	NA	66	44	22	NA	NA	0.106531	1:1:1:1:1:1	0.308367(0.384615:0.356275:0.184211)	NA	NA	NA	NA
Cd36_10690,orf19.663	NG	0.0209139	0.441873	0.04733	5.20065e-147	4035	883.479	3151.52	NA	360	295	65	NA	NA	0.113085	1:1:1:1:1:1	0.358519(0.417407:0.405556:0.252593)	NA	NA	NA	NA
Cd36_10710,orf19.661	NG	0.0115023	0.333134	0.0345276	1.36747e-34	1074	212.526	861.474	NA	67	57.1667	9.83333	NA	NA	0.0751476	1:1:1:1:1:1	0.305856(0.412162:0.297297:0.208108)	NA	NA	NA	NA
Cd36_10720,orf19.660	NG	0.0608689	0.476187	0.127826	1.15032e-49	1935	421.258	1513.74	NA	237	148.5	88.5	NA	NA	0.151286	1:1:1:1:1:1	0.344308(0.407351:0.365237:0.260337)	NA	NA	NA	NA
Cd36_10730,orf19.658	NG	0.0667104	0.384795	0.173366	9.52991e-61	3621	733.102	2887.9	NA	405	220.667	184.333	NA	NA	0.131109	1:1:1:1:1:1	0.315438(0.467147:0.28726:0.191907)	NA	NA	NA	NA
Cd36_10740,orf19.657	NG	0.0547578	0.675681	0.0810409	1.67669e-48	1155	264.96	890.04	NA	165	118	47	NA	NA	0.197199	1:1:1:1:1:1	0.409524(0.487013:0.402597:0.338961)	NA	NA	NA	NA
